comp_id,full_name,email,team_name,score,standing
3,Brandon Miller,brandon.miller@gmail.com,Scrum Lords,16,8
3,Ryan Smith,ryan.smith@gmail.com,Scrum Lords,16,9
3,Isabella Wilson,isabella.wilson@gmail.com,Beyond Infinity,14,10
3,Richard Williams,richard.williams@gmail.com,Beyond Infinity,14,11
3,Jessica Jackson,jessica.jackson@gmail.com,Beyond Infinity,14,12
3,Mary Smith,mary.smith@gmail.com,Code Raiders,11,13
3,Jennifer Garcia,jennifer.garcia@gmail.com,Code Raiders,11,14
3,Amy Garcia,amy.garcia@gmail.com,Code Raiders,11,15
3,Andrew Taylor,andrew.taylor@gmail.com,Binary Beasts,7,16
3,Matthew Wilson,matthew.wilson@gmail.com,Binary Beasts,7,17
3,Sarah Smith,sarah.smith@gmail.com,Binary Beasts,7,18
3,Amy Garcia,amy.garcia@gmail.com,Little Bits,7,19
3,Ashley Davis,ashley.davis@gmail.com,Little Bits,7,20
3,Elizabeth Jones,elizabeth.jones@gmail.com,Little Bits,7,21
3,William Brown,william.brown@gmail.com,Hex Clan,7,22
3,Charles Johnson,charles.johnson@gmail.com,Hex Clan,7,23
3,Brian Davis,brian.davis@gmail.com,Hex Clan,7,24
4,James Brown,james.brown@gmail.com,Runtime Terrors,12,1
4,Steven Garcia,steven.garcia@gmail.com,Runtime Terrors,12,2
4,Kevin Martin,kevin.martin@gmail.com,Runtime Terrors,12,3
4,Brandon Miller,brandon.miller@gmail.com,Scrum Lords,12,4
4,Eric Anderson,eric.anderson@gmail.com,Scrum Lords,12,5
4,Mark Wilson,mark.wilson@gmail.com,Scrum Lords,12,6
4,Isabella Wilson,isabella.wilson@gmail.com,Beyond Infinity,10,7
4,Michelle Smith,michelle.smith@gmail.com,Beyond Infinity,10,8
4,Jessica Jackson,jessica.jackson@gmail.com,Beyond Infinity,10,9
4,Emily Moore,emily.moore@gmail.com,Morse Coders,10,10
4,Richard Williams,richard.williams@gmail.com,Morse Coders,10,11
4,Ryan Smith,ryan.smith@gmail.com,Morse Coders,10,12
4,William Brown,william.brown@gmail.com,Hex Clan,5,13
4,Charles Johnson,charles.johnson@gmail.com,Hex Clan,5,14
4,Brian Davis,brian.davis@gmail.com,Hex Clan,5,15
4,Andrew Taylor,andrew.taylor@gmail.com,Binary Beasts,5,16
4,Jason Moore,jason.moore@gmail.com,Binary Beasts,5,17
4,Sarah Smith,sarah.smith@gmail.com,Binary Beasts,5,18
5,Mark Wilson,mark.wilson@gmail.com,Scrum Lords,11,1
5,Eric Anderson,eric.anderson@gmail.com,Scrum Lords,11,2
5,Ryan Smith,ryan.smith@gmail.com,Scrum Lords,11,3
5,Richard Williams,richard.williams@gmail.com,Morse Coders,9,4
5,Kevin Martin,kevin.martin@gmail.com,Morse Coders,9,5
5,Brandon Miller,brandon.miller@gmail.com,Morse Coders,9,6
5,Andre Ramkissoon,andre.ramkissoon@gmail.com,Code_Crafters,9,7
5,Isabella Wilson,isabella.wilson@gmail.com,Beyond Infinity,8,8
5,Michelle Smith,michelle.smith@gmail.com,Beyond Infinity,8,9
5,Jessica Jackson,jessica.jackson@gmail.com,Beyond Infinity,8,10
5,Mary Smith,mary.smith@gmail.com,Code Raiders,6,11
5,Jennifer Garcia,jennifer.garcia@gmail.com,Code Raiders,6,12
5,Amy Garcia,amy.garcia@gmail.com,Code Raiders,6,13
1,Luna Eclipse,luna.eclipse@unknown.com,Code_Crafters,2,28
1,Dex Nova,dex.nova@nomail.com,Binary Beasts,8,29
1,Aria Flame,aria.flame@ghostmail.com,Little Bits,4,30
1,Zane Frost,zane.frost@nowhere.net,Runtime Terrors,8,31
1,Nova Rain,nova.rain@tempbox.io,Runtime Terrors,1,32
